上海,#genre#
中国教育-1,http://58.41.27.144:18888/rtp/239.45.1.125:5140
中国教育-2,http://58.41.27.144:18888/rtp/239.45.1.52:5140
中国教育-4,http://58.41.27.144:18888/rtp/239.45.1.50:5140
浙江卫视,http://58.41.27.144:18888/rtp/239.45.3.178:5140
江苏卫视,http://58.41.27.144:18888/rtp/239.45.3.177:5140
湖南卫视,http://58.41.27.144:18888/rtp/239.45.3.228:5140#http://58.41.27.144:18888/rtp/239.45.3.233:5140
北京卫视,http://58.41.27.144:18888/rtp/239.45.3.229:5140
广东卫视,http://58.41.27.144:18888/rtp/239.45.3.230:5140
深圳卫视,http://58.41.27.144:18888/rtp/239.45.3.231:5140
黑龙江卫视,http://58.41.27.144:18888/rtp/239.45.3.232:5140
山东卫视,http://58.41.27.144:18888/rtp/239.45.3.238:5140
湖北卫视,http://58.41.27.144:18888/rtp/239.45.3.239:5140
安徽卫视,http://58.41.27.144:18888/rtp/239.45.1.120:5140
东南卫视,http://58.41.27.144:18888/rtp/239.45.1.121:5140
江西卫视,http://58.41.27.144:18888/rtp/239.45.1.122:5140
辽宁卫视,http://58.41.27.144:18888/rtp/239.45.1.123:5140
天津卫视,http://58.41.27.144:18888/rtp/239.45.1.124:5140
四川卫视,http://58.41.27.144:18888/rtp/239.45.1.83:5140
重庆卫视,http://58.41.27.144:18888/rtp/239.45.1.84:5140
贵州卫视,http://58.41.27.144:18888/rtp/239.45.1.80:5140
海南卫视,http://58.41.27.144:18888/rtp/239.45.1.81:5140
河北卫视,http://58.41.27.144:18888/rtp/239.45.1.44:5140
金鹰纪实,http://58.41.27.144:18888/rtp/239.45.1.45:5140
宁夏卫视,http://58.41.27.144:18888/rtp/239.45.1.213:5140#http://58.41.27.144:18888/rtp/239.45.3.176:5140
广西卫视,http://58.41.27.144:18888/rtp/239.45.0.5:5140
吉林卫视,http://58.41.27.144:18888/rtp/239.45.0.6:5140
山西卫视,http://58.41.27.144:18888/rtp/239.45.1.229:5140#http://58.41.27.144:18888/rtp/239.45.3.171:5140
青海卫视,http://58.41.27.144:18888/rtp/239.45.1.230:5140#http://58.41.27.144:18888/rtp/239.45.3.172:5140
西藏卫视,http://58.41.27.144:18888/rtp/239.45.1.231:5140#http://58.41.27.144:18888/rtp/239.45.3.173:5140
陕西卫视,http://58.41.27.144:18888/rtp/239.45.1.232:5140#http://58.41.27.144:18888/rtp/239.45.3.174:5140
云南卫视,http://58.41.27.144:18888/rtp/239.45.0.4:5140
甘肃卫视,http://58.41.27.144:18888/rtp/239.45.1.234:5140#http://58.41.27.144:18888/rtp/239.45.3.175:5140
内蒙古卫视,http://58.41.27.144:18888/rtp/239.45.1.238:5140#http://58.41.27.144:18888/rtp/239.45.3.221:5140
河南卫视,http://58.41.27.144:18888/rtp/239.45.0.3:5140
新疆卫视,http://58.41.27.144:18888/rtp/239.45.1.116:5140#http://58.41.27.144:18888/rtp/239.45.3.142:5140
兵团卫视,http://58.41.27.144:18888/rtp/239.45.1.117:5140#http://58.41.27.144:18888/rtp/239.45.3.143:5140
三沙卫视,http://58.41.27.144:18888/rtp/239.45.1.82:5140
康巴卫视,http://58.41.27.144:18888/rtp/239.45.1.251:5140
金鹰卡通,http://58.41.27.144:18888/rtp/239.45.3.118:5140#http://58.41.27.144:18888/rtp/239.45.3.119:5140
嘉佳卡通,http://58.41.27.144:18888/rtp/239.45.1.48:5140
卡酷少儿,http://58.41.27.144:18888/rtp/239.45.0.8:5140
北京冬奥纪实,http://58.41.27.144:18888/rtp/239.45.1.14:5140
中国天气,http://58.41.27.144:18888/rtp/239.45.1.47:5140
陶瓷,http://58.41.27.144:18888/rtp/239.45.3.50:5140
东方购物-1HD,http://58.41.27.144:18888/rtp/239.45.3.74:5140
东方购物-2HD,http://58.41.27.144:18888/rtp/239.45.3.75:5140
东方购物-3HD,http://58.41.27.144:18888/rtp/239.45.3.207:5140
东方购物-4HD,http://58.41.27.144:18888/rtp/239.45.3.208:5140
东方购物-5HD,http://58.41.27.144:18888/rtp/239.45.3.253:5140



ITV,#genre#
CCTV 1 HEVC,http://gslbservzqhsw.itv.cmvideo.cn/1000000005000265001/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265001&livemode=1&stbId=3
CCTV 2,http://gslbservzqhsw.itv.cmvideo.cn/1000000001000023315/1.m3u8?channel-id=ystenlive&Contentid=1000000001000023315&livemode=1&stbId=3
CCTV 3 HEVC,http://gslbservzqhsw.itv.cmvideo.cn/1000000005000265003/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265003&livemode=1&stbId=3
CCTV 4 HEVC,http://gslbservzqhsw.itv.cmvideo.cn/1000000005000265004/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265004&livemode=1&stbId=3
CCTV 5 HEVC,http://gslbservzqhsw.itv.cmvideo.cn/1000000005000265005/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265005&livemode=1&stbId=3
CCTV 5+ HEVC,http://gslbservzqhsw.itv.cmvideo.cn/1000000005000265016/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265016&livemode=1&stbId=3
CCTV 6,http://gslbservzqhsw.itv.cmvideo.cn/1000000001000001737/1.m3u8?channel-id=ystenlive&Contentid=1000000001000001737&livemode=1&stbId=3
CCTV 6 HEVC,http://gslbservzqhsw.itv.cmvideo.cn/1000000005000265006/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265006&livemode=1&stbId=3
CCTV 7,http://gslbservzqhsw.itv.cmvideo.cn/1000000001000024341/1.m3u8?channel-id=ystenlive&Contentid=1000000001000024341&livemode=1&stbId=3
CCTV 7 HEVC,http://gslbservzqhsw.itv.cmvideo.cn/1000000005000265007/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265007&livemode=1&stbId=3
CCTV 8 HEVC,http://gslbservzqhsw.itv.cmvideo.cn/1000000005000265008/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265008&livemode=1&stbId=3
CCTV 9,http://gslbservzqhsw.itv.cmvideo.cn/1000000001000014583/1.m3u8?channel-id=ystenlive&Contentid=1000000001000014583&livemode=1&stbId=3
CCTV 9 HEVC,http://gslbservzqhsw.itv.cmvideo.cn/1000000005000265009/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265009&livemode=1&stbId=3
CCTV 10,http://gslbservzqhsw.itv.cmvideo.cn/1000000001000023734/1.m3u8?channel-id=ystenlive&Contentid=1000000001000023734&livemode=1&stbId=3
CCTV 10 50 FPS,http://gslbservzqhsw.itv.cmvideo.cn/5000000004000012827/1.m3u8?channel-id=bestzb&Contentid=5000000004000012827&livemode=1&stbId=3
CCTV 10 HEVC,http://gslbservzqhsw.itv.cmvideo.cn/1000000005000265010/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265010&livemode=1&stbId=3
CCTV 11 50 FPS,http://gslbservzqhsw.itv.cmvideo.cn/5000000011000031106/1.m3u8?channel-id=bestzb&Contentid=5000000011000031106&livemode=1&stbId=3
CCTV 11 HEVC,http://gslbservzqhsw.itv.cmvideo.cn/1000000005000265011/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265011&livemode=1&stbId=3
CCTV 12,http://gslbservzqhsw.itv.cmvideo.cn/1000000001000032494/1.m3u8?channel-id=ystenlive&Contentid=1000000001000032494&livemode=1&stbId=3
